Time	EMG
4.166	-0.162881
4.167	-0.157095
4.168	-0.0075147
4.169	0.101738
4.17	0.104559
4.171	-0.0108595
4.172	-0.130919
4.173	-0.0194604
4.174	0.0953672
4.175	0.0885167
4.176	-0.0092123
4.177	-0.0495626
4.178	-0.137738
4.179	-0.141496
4.18	0.108249
4.181	0.241602
4.182	0.123673
4.183	-0.0957079
4.184	-0.142947
4.185	-0.0483866
4.186	0.0204099
4.187	0.0323339
4.188	-0.106833
4.189	-0.147083
4.19	0.147211
4.191	0.312208
4.192	0.104707
4.193	-0.179406
4.194	-0.216839
4.195	-0.12274
4.196	0.00267897
4.197	0.181517
4.198	0.18738
4.199	-0.0339152
4.2	-0.151155
4.201	-0.0834118
4.202	0.0175669
4.203	0.101338
4.204	0.0966649
4.205	-0.0970299
4.206	-0.0972216
4.207	0.0406098
4.208	0.117253
4.209	0.014469
4.21	-0.141795
4.211	-0.139446
4.212	0.0271814
4.213	0.184766
4.214	0.155019
4.215	-0.0145939
4.216	-0.120419
4.217	-0.123884
4.218	-0.0290597
4.219	0.0506485
4.22	0.0592345
4.221	0.011019
4.222	-0.060613
4.223	-0.00824985
4.224	0.0766071
4.225	0.0994075
4.226	-0.0142004
4.227	-0.126252
4.228	-0.097346
4.229	-0.00743969
4.23	0.121239
4.231	0.0710827
4.232	-0.0382832
4.233	-0.0124588
4.234	0.0122765
4.235	-0.00379891
4.236	-0.0304138
4.237	-0.0491112
4.238	-0.0779002
4.239	0.0053421
4.24	0.122413
4.241	0.163358
4.242	0.0453553
4.243	-0.125849
4.244	-0.109887
4.245	-0.080436
4.246	-0.0582651
4.247	0.030294
4.248	0.0732297
4.249	0.0709872
4.25	0.0576415
4.251	0.0138961
4.252	0.0499892
4.253	0.0795631
4.254	-0.0692101
4.255	-0.285121
4.256	-0.268023
4.257	0.0649453
4.258	0.255616
4.259	0.295013
4.26	0.121761
4.261	-0.156257
4.262	-0.221891
4.263	-0.0676746
4.264	0.059769
4.265	0.0405888
4.266	-0.0249455
4.267	-0.00158593
4.268	0.02603
4.269	0.0370906
4.27	0.0663298
4.271	-0.0455438
4.272	-0.1571
4.273	-0.0438765
4.274	0.150641
4.275	0.189683
4.276	0.0765175
4.277	-0.182132
4.278	-0.244914
4.279	-0.0633927
4.28	0.132299
4.281	0.153041
4.282	0.0615416
4.283	-0.0301019
4.284	-0.0313738
4.285	-0.0706245
4.286	-0.070283
4.287	0.0340556
4.288	0.0723212
4.289	0.0384398
4.29	0.0719303
4.291	-0.0257303
4.292	-0.103253
4.293	-0.128259
4.294	-0.0991631
4.295	0.0421839
4.296	0.188983
